,ID,POS,NEG,Lemme,Definicija
5420,BILI-00000007,0.0,0.0,boza,Vrsta pića od kukuruznog brašna i šećera.
5421,BILI-00001032,0.0,0.0,mitropolitski,Koji se odnosi na mitropolite.
5422,BILI-00000996,0.0,0.125,omladinski,Koji se odnosi na omladince i omladinke.
5423,BILI-00000266,0.0,0.0,partizanski,Koji se odnosi na partizane.
5424,BILI-00000267,0.0,0.5,patrijarhov,Koji pripada patrijarhu.
5425,BILI-00001029,0.0,0.5,patrijaršijski,Koji pripada patrijaršiji.
5426,BILI-00000971,0.0,0.0,pionirski,Koji se odnosi na pionire.
5427,BILI-00000932,0.0,0.0,samoupravljački,Koji se odnosi na samoupravljače.
5428,BILI-00001057,0.0,0.0,samoupravni,Koji se odnosi na samoupravljanje.
5429,BILI-00001123,0.0,0.0,slavski,Koji se odnosi na slavu.
5430,BILI-00000955,0.0,0.5,stričev,Koji pripada stricu.
5431,BILI-00000986,0.0,0.5,tetkin,Koji pripada tetki.
5432,BILI-00001035,0.0,0.5,"ujakov,ujkin,ujkov",Koji pripada ujaku.
5433,BILI-00000268,0.0,0.5,"vladikin,vladičin",Koji pripada vladiki.
5434,BILI-00001049,0.0,0.25,vladičanski,"Koji pripada vladikama, koji se odnosi na vladike."
5435,BILI-00000987,0.0,0.375,27. mart,Dan kada su u Beograde održane demonstracije protiv pristupanja Jugoslavije Trojnom paktu.
5436,BILI-00000113,0.0,0.25,"Balkanijada,balkanske igre",Sportske igre takmičara iz balkanskih zemalja.
5437,BILI-00000269,0.0,0.375,Cveti,Nedexla uoči Uskrsa.
5438,BILI-00001064,0.0,0.125,Dan borca,4. juli - Dan kada je 1941. godine podignut oružani ustanak protiv Nemačke okupacije Jugoslavije u II svetskom ratu.
5439,BILI-00001058,0.0,0.375,Dejtonski sporazum,"Sporazum potpisan u Dejtonu, Ohio, SAD 1995. kojim je završen rat u BiH, bivša Jugoslavija."
5440,BILI-00000013,0.0,0.375,Drugi balkanski rat,Drugi balkanski rat - uglavnom rat između Srbije i Bugarske oko prevlasti nad terotorijama oslobođenih od Turske imperije.
5441,BILI-00001114,0.0,0.375,"Drugi srpski ustanak,II srpski ustanak",Ustanak protiv turske vladavine podignut 1815. godine pod vođstvom Miloša Obrenovića.
5442,BILI-00001024,0.0,0.5,Ivo Andrić,"Srpski pisac, nobelovac."
5443,BILI-00001023,0.0,0.125,Kosovska bitka,"Bitka na Kosovu, 28. juna 1389. godine."
5444,BILI-00001065,0.0,0.375,Kraljevina Jugoslavija,"Novi naziv za Kraljevinu Srba, Hrvata i Slovenaca koja je prestala sa postoji porazom i kapitulacijom u aprilskom ratu 1941. godine."
5445,BILI-00001061,0.0,0.25,"Kraljevina Srba, Hrvata i Slovenaca",Kraljevina nastala ujedinjenjema naroda jugositočne Evrope posle I svetskog rata.
5446,BILI-00000170,0.0,0.375,Krstovdan,"Pravoslavni praznik, vozdviženje časnog krsta; slavi se 27. septembra po gregorijanskom, odnosno 14. IX po julijanskom kalendaru."
5447,BILI-00000998,0.0,0.0,Marička bitka,Bitka između Srba i Turaka na reci Marici 1371 godine.
5448,BILI-00000136,0.0,0.125,Marko Kraljević,"Turski vazal, slavljen kao junak u pesmama Kosovskog ciklusa."
5449,BILI-00000294,0.0,0.375,Mladenci,"Dan 40 mučenika, 22. mart, kada po običaju u Srbiji rođaci i prijatelji posećuju i daruju nove mladence."
5450,BILI-00000985,0.0,0.125,NATO bombardovanje,NATO bombardovanje SR Jugoslavije od 25. marta do 7. juna 1999. godine.
5451,BILI-00000018,0.0,0.375,Omladinska organizacija,Organizacija omladinaca u SFRJ.
5452,BILI-00000180,0.0,0.375,Pionirska organizacija,Zvanična organizacija pionira u SFRJ.
5453,BILI-00001086,0.0,0.375,Pokret nesvrstanih,"Organizacija zemalja koje nisu bile uključene ni u jedan od tada važećih organizacija (NATO, Varšavski pakt)."
5454,BILI-00000028,0.0,0.125,Prvi balkanski rat,Rat koji su Srbi vodili protiv Turske okupacije i oslobođenje teritorija (1912).
5455,BILI-00001075,0.0,0.125,"Prvi srpski ustanak,I srpski ustanak",Ustanak protiv turskog ropstva od 1804. do 1813 pod vođstvom Karađorđa Petrovića.
5456,BILI-00001004,0.0,0.125,"Rambuje,sastanak u Rambujeu","Propast pregovora u Rambujeu, Francuska doveo je do bombardovanja Srbije od strane NATO-a 1999. godine."
5457,BILI-00001111,0.0,0.5,Sabor u Guči,Tradicionalni festival trubača koji se održava svakog leta.
5458,BILI-00000270,0.0,0.125,Slobodan Milošević,Ozloglašeni predsednik Srbije i Jugoslavije u periodu od 1987. do 2000. godine.
5459,BILI-00000271,0.0,0.375,"Socijalistička Federativna Republika Jugoslavija,SFRJ","Takozvana ""druga Jugoslavija"" stvorena na zasedanju AVNOJ-a u Jajcu 1943. godine a prestala da postoji ratovina na tlu bivše Jugoslavije devedesetih godina."
5460,BILI-00000983,0.125,0.0,"Savezna Republika Jugoslavija,SRJ","Takozvana ""treća Jugoslavija"", koju čine samo dve od šest republika bivše Jugoslavije, Srbija i Crna Gora."
5461,BILI-00001016,0.0,0.125,Solunski front,Front koji su saveznici stvorili protiv Centralnih sila na Balkanu od 1915 do 1918.
5462,BILI-00000272,0.0,0.125,Spasovdan,"Dan kada se slavi Hristovo vaznesenje, ulazak Hristov na nebo, četrdeset dana po Uskrsu."
5463,BILI-00001107,0.0,0.375,Srbija i Crna Gora,"Nekad se naziva i ""četvrta Jugoslavija"", labava državna zajednica Srbije i Crne Gore nastala usvajanjem Ustavne povelje."
5464,BILI-00000273,0.0,0.25,"Sretenje,Sretenje Gospođne","Pravoslavni crkveni praznik; slavi se 15. februara po gregorijanskom, odnosno 2. II po julijanskom kalendaru."
5465,BILI-00000178,0.0,0.375,"Sveti Aranđeo,Aranđelovdan","Pravoslavni praznik sv. Aranđeo; slavi se 21. novembra po gregorijanskom, odnosno 8. novembra po julijanskom kalendaru."
5466,BILI-00000058,0.0,0.25,"Sveti Dimitrije,Mitrovdan,Mitrovdanak","Dan posvećen sv. Dimitriju; slavi se 8. XI po gregorijanskom, odnosno 26. oktobra po julijanskom kalendaru."
5467,BILI-00000204,0.0,0.25,"Sveti Đurđe,Đurđevdan,Đurđev dan,Đurđevo,Đurđevdanak","Dan posvećen sv. Đurđu; slavi se 6. V po gregorijanskom, odnosno 23. IV po julijanskom kalendaru."
5468,BILI-00000122,0.125,0.0,"Sveti Ilija,Ilindan,Ilinjdan,Ilinje,Ilijino",Dan posvećen hrišćanskom svecu sv. Iliji; slavi se 2. avgusta po gregorijanskom kalendaru.
5469,BILI-00000074,0.0,0.25,"Sveti Jovan,Jovanjdan,Jovandan","Dan posvećen sv. Jovanu; slavi se 20. januara po gregorijanskom, odnosno 7. januara po julijanskom kalendaru."
5470,BILI-00000166,0.0,0.375,"Sveti Nikola,Nikoljdan,Nikolindan,19. decembar","Hrišćanski praznik sv. Nikole; 19. decembar po gregorijanskom kalendaru, a 6. decembar po julijanskom kalendaru."
5471,BILI-00000274,0.0,0.25,"Sveti Sava,Savindan","Dan posvećen sv. Savi; slavi se 27. januara po gregorijanskom, odnosno 14. januara po julijanskom kalendaru."
5472,BILI-00000275,0.0,0.375,Velika Gospojina,"Uspenje Presvete Bogorodice; slavi se 28. avgusta po gregorijanskom, odnosno 15. avgusta po julijanskom kalendaru."
5473,BILI-00001120,0.0,0.25,"Vidovdan,Vidov dan","Pravoslavni crkveni praznik; slavi se 28. VI po gregorijanskom, odnosno 15. VI po julijanskom kalendaru."
5474,BILI-00000961,0.0,0.125,"Vidovdan,Vidov dan",Dan bitke na Kosovu polju 1389. godine.
5475,BILI-00000086,0.0,0.375,"Vrbica,Lazarova subota","Subota uoči Cvetnice, Cveti."
5476,BILI-00000057,0.0,0.375,"ajvar,hajvar",Salata od seckanih ili mlevenih pečenih paprika i plavog patlidžana.
5477,BILI-00000041,0.0,0.375,ala,"Proždrljivo mitsko biće, neman."
5478,BILI-00001056,0.0,0.375,"atentat u Sarajevu,Sarajevski atentat","Atentat u Sarajevu izvršen na Vidovdan, 28. VI 1914. godine u kome je ubijen prestolonaslednik princ Franc Ferdinand i sa kojim je otpočeo I svetski rat."
5479,BILI-00000967,0.0,0.25,avet,Pokojnik ili natrpirodno biće koje se u jezivom obliku priviđa sujevernim ljudima; zao duh.
5480,BILI-00001009,0.0,0.5,aždaja,"Ogromna proždrljiva neman, najčešće troglava."
5481,BILI-00000141,0.0,0.5,baba roga,"Strašilo u obliku krezube babe nakaznog lica s rogom na glavi, kojom se plaše mala deca."
5482,BILI-00001106,0.0,0.5,badnjak,Sirova hrastova ili kakva druga glavnja ili grana koja se uoči Božića stavlja na vatru.
5483,BILI-00000277,0.0,0.125,bauk,Zamišljeno zlo biće kojim se plaše deca.
5484,BILI-00001080,0.0,0.375,bombardovanje Beograda,Napad Nemačke na Jusgoslaviju u Drugom svetskom ratu počeo je bombardovanjem Beograda 6. aprila 1941. godine.
5485,BILI-00000174,0.0,0.375,bozadžija,Onaj koji pravi i prodaje bozu.
5486,BILI-00001108,0.0,0.375,bozadžinica,Radnja u kojoj se pravi i prodaje boza.
5487,BILI-00000995,0.0,0.375,buregdžija,Onaj koji pravi i prodaje burek.
5488,BILI-00001104,0.0,0.375,buregdžinica,Buregdžijska radnja.
5489,SRP-209199419,0.0,0.125,burek,"Pita s mesom, sirom, jabukama i sl."
5490,BILI-00001074,0.0,0.375,ćevabdžija,Onaj koji pravi i prodaje ćevapčiće i ćevape.
5491,BILI-00000126,0.0,0.5,ćevabdžinica,Gostionica u kojoj se prodaju i peku ćevapčići.
5492,BILI-00000175,0.0,0.5,ćevapčić,Valjčić mlevenog ili iseckanog mesa ispečen na žaru (roštilju).
5493,BILI-00000249,0.0,0.125,čučavac,"Vrsta zahoda, nužnika u kome nema sedala, nego se čuči."
5494,BILI-00001019,0.0,0.25,čukunbaba,Pradedova ili prababina mati.
5495,BILI-00001026,0.0,0.5,"čukundeda,čukunded",Pradedin ili prababin otac.
5496,BILI-00000278,0.0,0.5,čukununuk,Praunukov ili praunukin sin.
5497,BILI-00000279,0.0,0.375,čukununuka,Praunukova ili praunukina ćerka.
5498,BILI-00000280,0.0,0.5,čukununuče,"Dete, sin ili ćerka, nečijeg praunuka ili praunuke."
5499,BILI-00000362,0.0,0.25,čuma,"Kuga u obliku stare, ružne žene buljavih očiju i raščupane kose."
5500,BILI-00001092,0.0,0.5,"državni ispit,stručni ispit",Ispit koji polažu državni službenici posle određenog vremena provedenog u službi.
5501,BILI-00000003,0.0,0.125,đevrek,Vrsta pekarskog peciva u obliku venčića.
5502,BILI-00001063,0.0,0.375,đurđevdanski venac,Cvetni venac koji se pravi za Đurđevdan.
5503,BILI-00000127,0.125,0.5,džezva,"Bakrena posuda, ibrik za kuvanje crne (turske) kafe."
5504,BILI-00000282,0.0,0.25,filigran,"Fin mrežasti rad od srebrne ili zlatne žice sličan čipki, kao ukras, nakit."
5505,BILI-00001122,0.0,0.125,gvozdenzuba,Neodređeno strašilo kojim se plaše deca.
5506,BILI-00000952,0.0,0.25,jogurt,Mleko ukiseljeno pomoću posebnog fermenta.
5507,BILI-00000162,0.0,0.5,"halva,alva","Istočnjački slatkiš od pšeničnog brašna, masla i meda (šećera)."
5508,BILI-00000202,0.0,0.5,kadaif,"Poslastica od finih testenih vlakana, šećera i masla."
5509,BILI-00000283,0.0,0.25,kajmak,Mlečni namaz od skorupa.
5510,BILI-00000172,0.0,0.5,karakondžula,"Veštica, avet, utvara."
5511,BILI-00000284,0.0,0.375,kiseli kupus,Kupus koji se za zimu kiseli u drvenim ili plastičnim kacama pomoću soli.
5512,BILI-00000958,0.0,0.0,"klaker,kraher",Vrsta bezalkoholnog pića.
5513,BILI-00001100,0.0,0.5,kuvarica,Vezene krpe koje se obično kače iznad šporeta u kuhinji sa šaljivim porukama domaćici.
5514,BILI-00000957,0.0,0.375,"lamja,lamnja",Ogromna ružna utvara.
5515,BILI-00000045,0.0,0.5,linijski taksi,Taksi koji vozi trasom linije javnog saobraćaja i staje i prima putnike na istim stanicama.
5516,BILI-00001118,0.0,0.0,mesna zajednica,Najmanja administrativna jedinica u SFRJ u periodu od 70-tih do 90-tih godina.
5517,BILI-00000131,0.0,0.5,milicija,Oružane formacije za održavanje reda i sigurnosti građana.
5518,BILI-00000056,0.0,0.5,milicionar,Pripadnik milicije.
5519,BILI-00001093,0.0,0.125,mitropolit,"Zvanje, čin u pravoslavnoj crkvi viši od episkopa."
5520,BILI-00000361,0.0,0.25,moba,"Narodni običaj da susedi, obično momci i devojke, besplatno ili sa uzajamnim uzvraćanjem pomažu nekome pri većim seoskim radovima."
5521,BILI-00000352,0.0,0.5,narikača,"Žena koja nariče, tuži za kim ili čim."
5522,BILI-00000121,0.0,0.375,omladinac,"Član, pripadnik omladinske organizacije."
5523,BILI-00000183,0.0,0.375,omladinka,"Devojka, član omladinske organizacije."
5524,BILI-00000221,0.0,0.375,opanak,"Seljačka laka obuća od kože ili gume koja se priteže oko nogu kaišima, oputom ili čim sličnim."
5525,BILI-00000363,0.0,0.125,opančar,Zanatlija koji proizvodi opanke.
5526,BILI-00001115,0.0,0.375,opančarska radnja,Radnja u kojoj se prodaju opanci.
5527,BILI-00001068,0.125,0.25,orijentalni kolač,Kolači koji su obično preliveni šernim šerbetom.
5528,BILI-00001095,0.0,0.5,partizan,Borac u narodnooslobodilačkom ratu.
5529,BILI-00001099,0.0,0.5,"narodno-oslobodilački pokret,narodnooslobodilački pokret,narodnooslobodilačka borba",Pokret za oslobodženje od okupacije u Drugom svetskom ratu.
5530,BILI-00000946,0.0,0.0,partizanka,Ženska osoba partizan.
5531,BILI-00000295,0.0,0.5,patrijarh,Vrhovni poglavar u pravoslavnoj crkvi.
5532,BILI-00000296,0.0,0.25,patrijaršija,Zgrada u kojoj se nalazi crkvena uprava na čijem je čelu patrijarh.
5533,BILI-00000130,0.0,0.0,pionirka,Ženska osoba pionir.
5534,BILI-00000973,0.0,0.875,pljeskavica,"Isprženo na žaru mleveno, začinjeno i spljeskano meso."
5535,BILI-00001071,0.125,0.625,političarka,Žena koja je političar.
5536,BILI-00000142,0.0,0.375,pomen,Svečano gošćenje i zadušnice na uspomenu umrloga posle sahrane ili na dan njegove smrti.
5537,BILI-00000216,0.0,0.25,popara,"Sirotinjsko jelo načinjeno od starog hleba, poparenog i zamašćenog."
5538,BILI-00000059,0.0,0.5,praunuče,"Dete, sin ili ćerka, unuka ili unuke."
5539,BILI-00001069,0.0,0.5,praunuk,Sin nečijeg unuka ili unuke.
5540,BILI-00000992,0.0,0.5,praunuka,Ćerka nečijeg unuka ili unuke.
5541,BILI-00000158,0.25,0.0,pravoslavlje,Istočna hrišćanska vera.
5542,BILI-00001054,0.0,0.375,radnički savet,Radnički saveti su imali upravljačku i savetodavnu funkciju u preduzećima u vreme samoupravljačkog socijalizma.
5543,BILI-00000982,0.0,0.375,rat na tlu bivše Jugoslavije,Rat vođen devedestih godina tokom koga je došlo do raspada SFRJ.
5544,BILI-00000147,0.0,0.0,ražnjić,Vrsta jela od manjih komada mesa nanizanih na drveni štapić i ispečenih na žaru (roštilju).
5545,BILI-00001018,0.0,0.125,"samoupravni socijalizam,samoupravljanje,radničko samoupravljanje",Samoupravni socijalizam razvijan u SFRJ; za razliku od državnog socijalizma sredstva za rad su u rukama radnika.
5546,BILI-00001103,0.0,0.25,samoupravljač,Radnik u sistemu samoupravnog socijalizma koji je sa ostalim radnicima vlasnik sredstava za rad i upravlja radom preduzeća.
5547,BILI-00001022,0.0,0.125,slava,"Dan sveca zaštitnika, svetkovina i kult predaka."
5548,BILI-00001066,0.0,0.125,slavski kolač,Kolač koji se priprema za slavu.
5549,BILI-00000956,0.0,0.375,srma,Srebrna žica konac koja se upotrebljava za filigranske radove ili se pri vezenju i tkanju upleće među ostale konce ili niti radi ukrasa.
5550,BILI-00000036,0.0,0.375,staljinizam,Period u kome je u SSSR-u vladao Josif Vizarionovič Staljin i karakteristike tog perioda.
5551,BILI-00000001,0.0,0.5,"stric,strika,striko",Brat nečijeg oca.
5552,BILI-00000991,0.25,0.5,"sudijski ispit,sudački ispit",Ispit koji polayxu diplomirani pravnici da mi mogli da postanu sudije.
5553,BILI-00000285,0.0,0.25,sudžuk,"Slatkiš od brašna, šećera i zgusnute šire u obliku kobasice."
5554,BILI-00000970,0.0,0.25,svetosavlje,Kult sv. Save.
5555,BILI-00000073,0.0,0.5,tetka,Sestra nečijeg oca ili majke.
5556,BILI-00001012,0.0,0.5,titoizam,Period u kome je Josip Broz Tito bio predsednik Jugoslavije.
5557,BILI-00001112,0.0,0.5,tufahija,Jabuka napunjena filom od oraha koja se kuva u šećernom prelivu.
5558,BILI-00000286,0.0,0.375,tulumba,"Posebnim špricom oblikovano testo u valjčiće s brazdama koje se peče na vrelom ulju, a zatim zaliva slatim šerbetom."
5559,BILI-00000017,0.0,0.5,"ujak,ujka,ujko",Brat nečije majke.
5560,BILI-00000974,0.0,0.125,"urmašica,brdarica-tatlija","Vrsta orijentalnog kolača od masla, brašna i jaja, prelivenog rastopljenim šećerom."
5561,BILI-00001072,0.0,0.5,utvara,"Avet, sablast, priviđenje."
5562,BILI-00000287,0.0,0.125,"vladika,episkop","Najviši čin u pravoslavnoj crkvi, poglavar crkvene oblasti."
5563,BILI-00000044,0.0,0.375,vrbica,"Grančica vrbe koja se osvećuje na dan Cvjetnice, Vrbice."
5564,BILI-00000191,0.0,0.125,žito,"Kuvana pšenica koja se jede na daći ili slavi, koljivo."
5565,BILI-00001001,0.0,0.5,mitropolitovati,"Vršiti dužnosti mitropolita, biti mitropolit."
5566,BILI-00000941,0.0,0.25,naricati,"Glasno izražavati žalost, zapevati, tužiti."
5567,BILI-00001006,0.0,1.0,partizanovati,"Biti partizan, delovati kao partizan ili partizanka."
5568,ENG30-07936263-n,0.0,0.25,voda za piće,Voda koja može da se pije.
5569,ENG30-07936548-n,0.125,0.375,"soda,soda voda",Penušavo piće koje je veštački obogaćeno ugljen-dioksidom.
5570,BILI-00000960,0.0,0.5,"pašančev,pašenogov",Koji pripada pašancu.
5571,ENG30-00322847-v,0.125,0.0,kuvati,Transformisati i učiniti pogodnim za konzumiranje zagrevanjem.
5572,ENG30-00328128-v,0.0,0.5,kuvati,Kuvati u kipućoj vodi.
5573,ENG30-00323856-v,0.0,0.5,dinstati,Kuvati lagano i dugo u malo tećnosti.
5574,ENG30-00247792-n,0.125,0.375,kuvanje,cooking in a boiling liquid
5575,ENG30-03727837-n,0.25,0.0,prostirka,debela ravna prostirka koj se koristi kao pokrivač za pod
5576,ENG30-01664172-v,0.0,0.375,"kuvati,spremiti,zgotoviti",Spremti za jelo podvrgavajući toploti.
5577,BILI-00001082,0.0,0.5,"bratančev,bratićev",Koji pripada bratancu.
5578,BILI-00000947,0.0,0.5,brataničin,Koji pripada bratanici.
5579,BILI-00001040,0.0,0.5,"čukundedin,čukundedov",Koji pripada čkundedi (čkundedu).
5580,BILI-00001109,0.0,0.5,deverov,Koji pripada deveru.
5581,BILI-00001083,0.0,0.75,"nećakin,nećakinjin",Koji pripada nećaki.
5582,BILI-00000999,0.0,0.5,sestrićev,Koji pripada sestriću.
5583,BILI-00001077,0.0,0.5,"sinovičin,sinovkinjin",Koji pripada sinovici.
5584,BILI-00001076,0.0,0.5,"snahin,snajin",Koji pripada snaji.
5585,BILI-00001045,0.0,0.5,strinin,Koji pripada strini.
5586,BILI-00001025,0.0,0.5,svekrov,Koji pripada svekru.
5587,BILI-00001014,0.0,0.5,svekrvin,Koji pripada svekrvi.
5588,BILI-00001110,0.0,0.5,"svastičin,svastin,svastikin",Koji pripada svastiki.
5589,BILI-00000081,0.0,0.625,"šurak,šura",Ženin brat.
5590,BILI-00001030,0.0,0.5,šurakov,Koji pripada šuraku.
5591,BILI-00000981,0.0,0.5,šurnjajin,Koji pripada šurnjaji.
5592,BILI-00001101,0.0,0.5,tastov,Koji pripada tastu.
5593,BILI-00000980,0.0,0.5,taštin,Koji pripada tašti.
5594,BILI-00000173,0.0,0.375,"tetak,teča",Tetkin muž.
5595,BILI-00000968,0.0,0.5,"tetkov,tečin","Koji pripada tetku, teči."
5596,BILI-00000988,0.0,0.5,ujnin,Koji pripada ujni.
5597,BILI-00000951,0.0,0.5,zaovin,Koji pripada zaovi.
5598,BILI-00000953,0.0,0.5,zetov,Koji pripada zetu.
5599,BILI-00001053,0.0,0.125,"Dan Republike,29. novembar",Dan kada je 29. novembra 1943. u Jajcu Jugoslavija proglasena republikom; slavio se kao Dan Republike do 2003. godine.
5600,BILI-00001000,0.0,0.375,Dečani,"Manastri Hrista Pantokratora u dnu Metohije, kod Peći; zadužbina kralja Stevana Uroša III."
5601,BILI-00001094,0.0,0.625,Mileševa,"Manastir Svete Bogorodice kod Prijepolja, zadužbina kralja Vladislava."
5602,BILI-00001116,0.0,0.125,Nemanjići,Srpska vladarska dinastija; vladala u Srbiji neprekidno 1168-1371; za njenog rodonačelnika uzima se Stefan Nemanja.
5603,BILI-00001037,0.0,0.5,Sopoćani,"Manastir kod Novog Pazara, zadužbina kralja Uroša I."
5604,BILI-00000964,0.0,0.375,Studenica,"Manastir kraj Ibra, zadužbina Stefana Nemanje."
5605,BILI-00000963,0.0,0.25,Vasina torta,"Torta sa tri sloja: prvi sloj je pečena kora od oraha, drugi kuvani krem od badema, a treći je kuvani šaum."
5606,BILI-00000934,0.0,0.25,"Vukova reforma,rat za jezik",Reforma srpskog jezika i pravopisa Vuka Stefanovića Karadžića iz XIX veka.
5607,BILI-00001091,0.0,0.0,Žiča,"Manastir Svetog Save, 4 km od Kraljeva, stolica 1. srpskog arhiepiskopa svetog Save."
5608,BILI-00000930,0.0,0.375,amatersko društvo,Društvo amatera koji se bave nekom umetnošću ili zanatom.
5609,BILI-00001105,0.0,0.5,"bratanac,bratić",Bratov sin sestri.
5610,BILI-00001003,0.0,0.5,"bratanica,bratanična",Bratova ćerka sestri.
5611,BILI-00001070,0.0,0.375,"bratučeda,sestra od strica",Stričeva ćerka.
5612,BILI-00000365,0.0,0.5,"bratučed,stričević,brat od strica",Sin nečijeg strica.
5613,BILI-00000943,0.0,0.5,brlja,"Slaba, meka rakija."
5614,BILI-00000032,0.0,0.125,čorbast pasulj,"Srpsko sirotinjsko jelo, kuvan pasulj koji se jede s kašikom, može da sadrži suvo meso ili slaninu."
5615,BILI-00000192,0.0,0.375,dever,Mužev brat.
5616,BILI-00001081,0.0,0.5,deveričić,Deverov sin snasi.
5617,BILI-00001015,0.0,0.375,deverična,Deverova ćerka snasi.
5618,BILI-00000128,0.0,0.5,fildžan,Šoljica za tursku kafu bez drške.
5619,BILI-00000289,0.0,0.25,"gravče na tavče,tavče na gravče","Jelo od pasulja i luka, zapečeno u rerni."
5620,BILI-00000047,0.0,0.5,jetrva,"Žena muževog brata, to jest devera."
5621,BILI-00001031,0.0,0.5,jetrvić,Jetrvin sin.
5622,BILI-00000962,0.0,0.375,jetrvičina,Jetrvina ćerka.
5623,BILI-00000185,0.0,0.125,kačamak,"Jelo od tvrdo skuvanog kukuruznog brašna; može da se doda beli sir, mleko ili kajmak."
5624,BILI-00000115,0.0,0.25,kapama,"Kuvano jelo od jegnjetine, mladog luka i spanaća."
5625,BILI-00000167,0.0,0.25,"kavurma,kaurma","Vrsta jelo od iseckanog droba (ovčijeg, svinjskog, i sl)."
5626,BILI-00000933,0.5,0.125,krčkanje,"Kuvanje veoma dugo na veoma laganoj vatri, npr. sarme."
5627,BILI-00000290,0.0,0.5,krpara,Prostirka satkana od starih krpa.
5628,BILI-00001096,0.0,0.5,kulturno-umetničko društvo,"Amatersko društvo u čijem sastavu rade razne sekcije: folklorna, hor, i sl."
5629,BILI-00000940,0.0,0.5,nećak,Sestrin sin bratu (a ponekad i bratov sin bratu).
5630,BILI-00001084,0.0,0.375,"nećaka,nećakinja",Sestrina ćerka bratu (a ponekad i bratova ćerka drugom bratu).
5631,BILI-00001021,0.0,0.75,nećakov,Koji pripada nećaku.
5632,BILI-00001036,0.0,0.5,pašanče,"Pašančevo, pašenogovo dete."
5633,BILI-00000187,0.0,0.5,"pašenog,pašanac","Muž ženine sestre, to jest svastike."
5634,BILI-00001098,0.0,0.25,pečene paprike,Salata od oxluštenih pečenih paprika sa belim lukom u sirćetu.
5635,BILI-00001038,0.0,0.5,pita od višanja,Pita od tankih kora koja se puni višnjama.
5636,BILI-00000104,0.0,0.5,"prija,prijateljica",Majka jednog od supružnika prema roditeljima drugog supružnika.
5637,BILI-00000937,0.0,0.5,"proja,projara,projarica",Kukuruzni hleb.
5638,BILI-00000111,0.0,0.25,sač,"Gvozdeni sud pod kojim se peče hleb, krompir i druga jela."
5639,BILI-00000092,0.0,0.5,sarma od kiselog kupusa,Sarma koja se uvija u listove kupusa koji je kiseljen u glavicama.
5640,BILI-00000189,0.0,0.125,sarma,"Jelo od prinča i seckanog ili mlevenog mesa uvijenog u lišće kiselog kupusa, zelja, vinovog lista, raštana."
5641,BILI-00001090,0.0,0.375,sestra od ujaka,Ujakova ćerka.
5642,BILI-00001088,0.0,0.5,sestrić,Sestrin sin drugoj sestri.
5643,BILI-00000969,0.0,0.5,sestričina,Sestrina ćerka drugoj sestri.
5644,BILI-00000959,0.0,0.5,sinovac,Bratovljev sin drugom bratu.
5645,BILI-00001067,0.0,0.5,sinovčev,Koji pripada sinovcu.
5646,BILI-00001113,0.0,0.375,"sinovica,sinovkinja",Bratovljeva ćerka drugom bratu.
5647,BILI-00000944,0.0,0.125,slatko,U šećeru kuvano celo voće ili njegovi veći komadi.
5648,BILI-00001033,0.0,0.5,"snaha,snaja,snajka,nevesta",Sinovljeva ili unukova žena.
5649,BILI-00000094,0.0,0.5,"snaha,snaja",Bratovljeva žena.
5650,BILI-00000031,0.0,0.5,strina,Stričeva žena.
5651,BILI-00000942,0.0,0.5,svastić,Svastičin sin.
5652,BILI-00000965,0.0,0.375,svastičina,Svastičina ćerka.
5653,BILI-00000199,0.0,0.5,"svastika,svast",Ženina sestra prema njenom mužu.
5654,BILI-00000215,0.0,0.5,svekar,Muževljev otac.
5655,BILI-00000149,0.0,0.5,svekrva,Muževljeva majka.
5656,BILI-00000190,0.0,0.5,"šurnjaja,šurnaja",Šurakova žena.
5657,BILI-00000214,0.0,0.75,tast,Ženin otac.
5658,BILI-00000222,0.0,0.5,tašta,Ženina majka.
5659,BILI-00000997,0.0,0.5,"tetišna,sestra od tetke",Tetkina ćerka.
5660,BILI-00001005,0.0,0.0,učenica,Ženska osoba učenik.
5661,BILI-00000366,0.0,0.5,"ujčević,brat od ujaka",Ujakov sin.
5662,BILI-00000112,0.0,0.5,ujna,Ujakova žena.
5663,BILI-00000064,0.0,0.375,zadušnice,"Dan posvećen mrtvima; služba, misa za pokajnika."
5664,BILI-00000152,0.0,0.375,zaova,Muževa sestra.
5665,BILI-00000950,0.0,0.5,zaović,Zaovin sin.
5666,BILI-00001046,0.0,0.375,zaovičina,Zaovinina ćerka.
5667,BILI-00000197,0.0,0.0,zet,"Oženjen čovek u odnosu na ženine roditelje, braću i druge članove njene porodice."
5668,BILI-00000009,0.0,0.375,zimnica,Hrana i piće pripremljeni posebnim postupkom za zimu.
5669,BILI-00000990,0.0,0.375,krčkati,Tiho ključati - o jelima koje na slaboj vatri treba da se potpuno skuva ili ukuva).
5670,BILI-00000938,0.0,0.5,samoupravljati,"Biti samoupravljač, vršiti samoupravljanje."
5671,BILI-00000966,0.0,0.5,vladikovati,"Vršiti službu vladike, imati vladičansko dostojanstvo."
5672,ENG30-07651454-n,0.0,0.375,"iznutrice,drob",Jestivi unutrašnji organi zaklanih životinja.
5673,ENG30-10780632-n,0.0,0.5,"udata žena,supruga,drugarica","Udara žena, čovekova partnerka u braku."
